price_in_rp,bedrooms,bathrooms,land_size_m2,building_size_m2,carports,electricity,floors,year_built,garages, Bekasi, Bogor, Depok, Jakarta Barat, Jakarta Pusat, Jakarta Selatan, Jakarta Timur, Jakarta Utara, Tangerang
900000000,3,2,70,90,1,2200,2,2022,0,0,1,0,0,0,0,0,0,0
185000000,2,1,50,36,1,1300,1,2022,0,0,1,0,0,0,0,0,0,0
3800000000,4,2,230,300,0,3160,2,2018,0,0,1,0,0,0,0,0,0,0
650000000,2,1,90,51,2,1300,1,2010,0,0,1,0,0,0,0,0,0,0
493000000,1,1,60,23,1,1300,1,2022,0,0,1,0,0,0,0,0,0,0
14500000000,4,4,866,500,4,5500,2,2017,0,0,1,0,0,0,0,0,0,0
655000000,2,1,78,36,1,1300,1,2022,0,0,1,0,0,0,0,0,0,0
900000000,4,2,150,100,0,3160,1,2018,0,0,1,0,0,0,0,0,0,0
6000000000,4,4,526,400,1,3300,2,2018,1,0,1,0,0,0,0,0,0,0
1350000000,3,2,94,96,1,2200,1,2022,0,0,1,0,0,0,0,0,0,0
2100000000,3,3,120,105,1,3300,2,2019,1,0,1,0,0,0,0,0,0,0
650000000,2,1,88,53,1,1300,1,2018,0,0,1,0,0,0,0,0,0,0
1140000000,3,2,84,76,1,1300,2,2018,1,0,1,0,0,0,0,0,0,0
810000000,2,1,90,45,1,1300,1,2018,0,0,1,0,0,0,0,0,0,0
11500000000,4,5,518,515,2,5500,2,2022,2,0,1,0,0,0,0,0,0,0
8500000000,5,6,483,500,2,7700,3,2017,2,0,1,0,0,0,0,0,0,0
1500000000,2,1,120,79,0,3300,2,2017,1,0,1,0,0,0,0,0,0,0
7000000000,4,3,375,450,2,4400,3,2020,3,0,1,0,0,0,0,0,0,0
1000000000,2,1,150,63,1,1300,1,2018,0,0,1,0,0,0,0,0,0,0
1000000000,7,6,309,300,3,2200,2,2018,0,0,1,0,0,0,0,0,0,0
2500000000,4,4,180,300,2,5500,2,2017,0,0,1,0,0,0,0,0,0,0
4700000000,4,4,300,250,1,4400,2,2021,1,0,1,0,0,0,0,0,0,0
2550000000,3,3,165,160,1,2200,2,2018,1,0,1,0,0,0,0,0,0,0
900000000,2,1,81,45,1,2200,1,2018,0,0,1,0,0,0,0,0,0,0
1350000000,3,2,94,96,1,2200,1,2022,0,0,1,0,0,0,0,0,0,0
11000000000,4,4,543,495,2,5500,2,2021,2,0,1,0,0,0,0,0,0,0
7000000000,4,4,340,400,1,5500,2,2022,1,0,1,0,0,0,0,0,0,0
